2020-02-12 17:24:02,976 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Feb 12 17:24:02 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-02-13 04:15:52,605 | WARN  | Transport Connection to: tcp://172.17.0.1:49970 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:49970 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2020-02-13 05:52:39,980 | WARN  | Transport Connection to: tcp://172.17.0.1:49994 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:49994 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2020-02-13 05:53:10,014 | WARN  | Transport Connection to: tcp://172.17.0.1:49998 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:49998 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2020-02-13 05:57:56,172 | WARN  | Transport Connection to: tcp://172.17.0.1:50014 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:50014 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2020-02-13 05:58:26,207 | WARN  | Transport Connection to: tcp://172.17.0.1:50026 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: tcp://172.17.0.1:50026 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2020-02-13 06:47:11,034 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Thu Feb 13 06:47:11 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-02-13 06:47:13,247 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:13,666 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-02-13 06:47:13,921 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-02-13 06:47:14,125 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:bf962d7f6436-40931-1581576433955-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:14,180 | INFO  | Listening for connections at: tcp://bf962d7f6436:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-13 06:47:14,183 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-02-13 06:47:14,189 | INFO  | Listening for connections at: amqp://bf962d7f6436:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-13 06:47:14,192 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-02-13 06:47:14,199 | INFO  | Listening for connections at: stomp://bf962d7f6436:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-13 06:47:14,203 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-02-13 06:47:14,211 | INFO  | Listening for connections at: mqtt://bf962d7f6436:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-02-13 06:47:14,214 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-02-13 06:47:14,585 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-02-13 06:47:14,682 | INFO  | Listening for connections at ws://bf962d7f6436:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-02-13 06:47:14,687 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-02-13 06:47:14,690 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:bf962d7f6436-40931-1581576433955-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:14,694 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:14,698 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 12481 mb of usable space. - resetting to maximum available disk space: 12481 mb | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:14,700 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 12481 mb of usable space. - resetting to maximum available disk space: 12481 mb | org.apache.activemq.broker.BrokerService | main
2020-02-13 06:47:15,745 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2020-02-13 06:47:16,186 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-02-13 06:47:16,188 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-02-13 06:47:16,284 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-02-13 06:47:16,716 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2020-02-13 06:47:16,874 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2020-02-13 07:22:50,963 | WARN  | Transport Connection to: tcp://172.17.0.1:47306 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///172.17.0.1:47306@1883
2020-02-13 07:34:28,276 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47338 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47346@1883
2020-02-13 07:35:02,550 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47346 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47350@1883
2020-02-13 07:35:13,278 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47350 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47354@1883
2020-02-13 07:35:16,380 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47354 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47366@1883
2020-02-13 07:35:19,478 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47366 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47370@1883
2020-02-13 07:35:22,546 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47370 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47374@1883
2020-02-13 07:35:25,665 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47374 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47378@1883
2020-02-13 07:35:28,766 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47378 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47382@1883
2020-02-13 07:35:31,865 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47382 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47386@1883
2020-02-13 07:35:34,956 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47386 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47390@1883
2020-02-13 07:35:38,016 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47390 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47394@1883
2020-02-13 07:35:41,080 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47394 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47398@1883
2020-02-13 07:35:44,144 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47398 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47402@1883
2020-02-13 07:35:47,198 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47402 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47406@1883
2020-02-13 07:35:50,271 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47406 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47410@1883
2020-02-13 07:35:53,322 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47410 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47414@1883
2020-02-13 07:35:56,379 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47414 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47418@1883
2020-02-13 07:35:59,453 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47418 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47422@1883
2020-02-13 07:36:02,546 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47422 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47426@1883
2020-02-13 07:36:05,648 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47426 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47430@1883
2020-02-13 07:36:08,746 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47430 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47434@1883
2020-02-13 07:36:11,877 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47434 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47438@1883
2020-02-13 07:36:15,011 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47438 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47442@1883
2020-02-13 07:36:18,111 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47442 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47446@1883
2020-02-13 07:36:21,203 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47446 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47450@1883
2020-02-13 07:36:24,274 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47450 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47454@1883
2020-02-13 07:36:27,368 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47454 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47458@1883
2020-02-13 07:36:30,457 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47458 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47462@1883
2020-02-13 07:36:33,528 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47462 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47466@1883
2020-02-13 07:36:36,600 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47466 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47470@1883
2020-02-13 07:36:39,657 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47470 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47474@1883
2020-02-13 07:36:42,719 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47474 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47478@1883
2020-02-13 07:36:45,836 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47478 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47482@1883
2020-02-13 07:36:48,939 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47482 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47486@1883
2020-02-13 07:36:52,017 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47486 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47490@1883
2020-02-13 07:36:55,065 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47490 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47494@1883
2020-02-13 07:36:58,165 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47494 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47498@1883
2020-02-13 07:37:01,255 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47498 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47502@1883
2020-02-13 07:37:04,346 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47502 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47506@1883
2020-02-13 07:37:07,454 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47506 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47514@1883
2020-02-13 07:37:10,545 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47514 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47518@1883
2020-02-13 07:37:13,190 | WARN  | Transport Connection to: tcp://172.17.0.1:47518 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///172.17.0.1:47518@1883
2020-02-13 07:37:48,400 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47522 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47526@1883
2020-02-13 07:37:51,599 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47526 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47530@1883
2020-02-13 07:37:51,635 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47530 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47534@1883
2020-02-13 07:37:54,702 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47534 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47538@1883
2020-02-13 07:37:54,743 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47538 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47542@1883
2020-02-13 07:37:57,812 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47542 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47546@1883
2020-02-13 07:37:57,873 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47546 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47550@1883
2020-02-13 07:38:00,954 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47550 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47554@1883
2020-02-13 07:38:00,991 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47554 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47558@1883
2020-02-13 07:38:04,069 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47558 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47562@1883
2020-02-13 07:38:04,101 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47562 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47566@1883
2020-02-13 07:38:07,168 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47566 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47570@1883
2020-02-13 07:38:07,213 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47570 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47574@1883
2020-02-13 07:38:10,315 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47574 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47578@1883
2020-02-13 07:38:10,361 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47578 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47582@1883
2020-02-13 07:38:13,467 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47582 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47586@1883
2020-02-13 07:38:13,514 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47586 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47590@1883
2020-02-13 07:38:16,601 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47590 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47594@1883
2020-02-13 07:38:16,648 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47594 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47598@1883
2020-02-13 07:38:19,733 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47598 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47602@1883
2020-02-13 07:38:19,777 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47602 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47606@1883
2020-02-13 07:38:22,818 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47606 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47620@1883
2020-02-13 07:38:22,859 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47620 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47624@1883
2020-02-13 07:38:25,933 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47624 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47628@1883
2020-02-13 07:38:25,995 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47628 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47632@1883
2020-02-13 07:38:29,066 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47632 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47636@1883
2020-02-13 07:38:29,099 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47636 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47640@1883
2020-02-13 07:38:32,162 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47640 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47644@1883
2020-02-13 07:38:32,202 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47644 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47648@1883
2020-02-13 07:38:35,299 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47648 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47652@1883
2020-02-13 07:38:35,340 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47652 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47656@1883
2020-02-13 07:38:38,433 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47656 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47660@1883
2020-02-13 07:38:38,473 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47660 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47664@1883
2020-02-13 07:38:41,566 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47664 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47668@1883
2020-02-13 07:38:41,608 | WARN  | Stealing link for clientId fcbai From Connection Transport Connection to: tcp://172.17.0.1:47668 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///172.17.0.1:47672@1883
